SNo,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
1,manipur,13-10-2022,29.7,17.1,22.7,34,17.1,23.5,20.2,86.5,0.2,100,4.17,rain,0,0,7.9,11.2,289,1012.3,46.6,13.9,250.5,21.8,9,30,2022-10-13T05:11:12,2022-10-13T16:49:42,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42623099999,VEIM,remote"
2,manipur,14-10-2022,29,17.2,22.4,32.7,17.2,23.2,19.8,86.2,0.2,100,4.17,rain,0,0,10.4,11.2,285.2,1012.1,38.2,15.2,246.8,21.4,9,30,2022-10-14T05:11:39,2022-10-14T16:48:45,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42623099999,VEIM,remote"
3,manipur,15-10-2022,29.5,16.7,23.1,33,16.7,23.8,20.1,84,0.1,100,4.17,rain,0,0,6.8,9.4,314.7,1011.5,43.1,11.9,250.1,21.7,9,30,2022-10-15T05:12:07,2022-10-15T16:47:50,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42623099999,VEIM,remote"
4,manipur,16-10-2022,30,16.9,23.2,33.7,16.9,24.1,20.2,83.9,0.4,100,12.5,rain,0,0,8.3,11.2,136.1,1013.2,31.2,11.8,249.2,21.6,9,30,2022-10-16T05:12:36,2022-10-16T16:46:55,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42623099999,VEIM,remote"
5,manipur,17-10-2022,29,17.1,22.6,31.7,17.1,23.3,19.8,85.1,1.9,100,25,rain,0,0,7.6,14.8,89,1013.8,26.7,13.5,235.9,20.3,9,30,2022-10-17T05:13:04,2022-10-17T16:46:00,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42623099999,VEIM,remote"
6,manipur,18-10-2022,28,16.1,21.6,31.9,16.1,22.2,19.5,88.1,5.2,100,25,rain,0,0,5.8,7.6,59.7,1013.3,47.7,13,243.4,20.9,8,30,2022-10-18T05:13:34,2022-10-18T16:45:07,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42623099999,VEIM,remote"
7,manipur,19-10-2022,28,15.8,22.1,30.7,15.8,22.4,19.7,87.4,2.9,100,12.5,rain,0,0,6.8,7.6,33.1,1014.1,52.7,10.1,244.1,21.1,8,30,2022-10-19T05:14:04,2022-10-19T16:44:14,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42623099999,VEIM,remote"
8,manipur,20-10-2022,28,15.1,21.2,30.5,15.1,21.5,18.6,85.8,0.1,100,4.17,rain,0,0,7.9,7.6,122.4,1014.8,39,10.5,247,21.4,9,10,2022-10-20T05:14:34,2022-10-20T16:43:22,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42623099999,VEIM,remote"
9,manipur,21-10-2022,30,13.7,21.5,32.6,13.7,22.3,17.5,79.2,0,0,0,,0,0,7.9,11.2,88.7,1015.9,14.4,14.3,247,21.3,9,30,2022-10-21T05:15:04,2022-10-21T16:42:31,0.92,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
10,manipur,22-10-2022,30.3,15.5,22.3,32,15.5,22.8,17.9,78.3,0,0,0,,0,0,10.1,16.6,117.3,1016.3,28.8,11.6,240.8,20.8,8,30,2022-10-22T05:15:35,2022-10-22T16:41:41,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42623099999,VEIM,remote"
11,manipur,23-10-2022,29,17,22.4,30.8,17,22.8,18.8,80.7,0,0,0,,0,0,12.2,7.6,54.5,1015.4,82.5,10.6,124.2,10.7,6,30,2022-10-23T05:16:07,2022-10-23T16:40:52,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42623099999,VEIM,remote"
12,manipur,24-10-2022,20.5,16.8,18.8,20.5,16.8,18.8,17.8,94,34,100,20.83,rain,0,0,28.4,20.5,44.8,1011,95.1,6.7,9.5,0.7,0,10,2022-10-24T05:16:39,2022-10-24T16:40:03,1,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"42623099999,VEIM,remote"
13,manipur,25-10-2022,27,16.8,21,29.2,16.8,21.2,19.1,89.1,44,100,12.5,rain,0,0,14.8,16.6,130.6,1009.8,71.8,5.9,104.9,8.9,6,10,2022-10-25T05:17:12,2022-10-25T16:39:16,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42623099999,VEIM,remote"
14,manipur,26-10-2022,30,15.2,21.1,32.6,15.2,21.6,17.7,82.4,0,0,0,,0,0,5.4,13,297.1,1014.4,50.9,8.5,177,15.2,8,10,2022-10-26T05:17:45,2022-10-26T16:38:30,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42623099999,VEIM,remote"
15,manipur,27-10-2022,30,13.2,20.1,31.3,13.2,20.3,16.3,80.8,0,0,0,,0,0,5.8,6.5,44.8,1014.9,39.9,10.5,241.1,20.6,8,10,2022-10-27T05:18:18,2022-10-27T16:37:44,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42623099999,VEIM,remote"
16,manipur,28-10-2022,28,13.1,20.2,29.2,13.1,20.4,16.4,80.5,0,0,0,,0,0,6.1,7.6,294.4,1014.6,22.4,10.6,240.4,20.7,8,10,2022-10-28T05:18:52,2022-10-28T16:37:00,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42623099999,VEIM,remote"
17,manipur,29-10-2022,29.3,12.5,20.2,30.5,12.5,20.4,15.6,77.1,0,0,0,,0,0,6.1,9.4,20.6,1014.6,18.6,12.4,238,20.6,8,10,2022-10-29T05:19:26,2022-10-29T16:36:17,0.1,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
18,manipur,30-10-2022,29,13.6,20.4,29.5,13.6,20.5,15.7,77,0,0,0,,0,0,5.8,6.5,32.1,1014.5,19.1,11.6,234.2,20.3,8,10,2022-10-30T05:20:01,2022-10-30T16:35:34,0.15,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
19,manipur,31-10-2022,28.4,14,20.9,29.9,14,21.1,16.8,78.9,0,0,0,,0,0,6.5,6.8,46.1,1015,19.1,11.8,235.3,20.5,8,10,2022-10-31T05:20:37,2022-10-31T16:34:53,0.21,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
20,manipur,01-11-2022,29.1,13.2,19.8,30.2,13.2,20,14.9,75.5,0,0,0,,0,0,6.8,6.5,2.9,1015.6,18.7,11.8,236,20.5,8,10,2022-11-01T05:21:12,2022-11-01T16:34:13,0.26,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
21,manipur,02-11-2022,28.5,11.2,19.3,29.5,11.2,19.3,14.1,74.4,0,0,0,,0,0,5.4,9.4,209.7,1014.2,12,11.6,233.7,20.2,8,10,2022-11-02T05:21:49,2022-11-02T16:33:34,0.32,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
22,manipur,03-11-2022,27,12.2,19.5,27.5,12.2,19.6,15,77,0,0,0,,0,0,5.8,9.4,284.8,1013.9,52.2,10.6,221.8,19.3,8,10,2022-11-03T05:22:26,2022-11-03T16:32:57,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42623099999,VEIM,remote"
23,manipur,04-11-2022,28,14.1,20.1,29.2,14.1,20.3,16.5,81.6,0.2,100,4.17,rain,0,0,11.2,14.8,169.3,1015.2,54.1,10.6,186.9,16.3,8,30,2022-11-04T05:23:03,2022-11-04T16:32:20,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42623099999,VEIM,remote"
24,manipur,05-11-2022,28.1,14.1,20.4,29.7,14.1,20.7,16.9,82.3,0,0,0,,0,0,8.6,9.4,100.4,1017,25.8,10.7,213.1,18.4,8,30,2022-11-05T05:23:41,2022-11-05T16:31:45,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42623099999,VEIM,remote"
25,manipur,06-11-2022,27.6,13.6,20.3,28.3,13.6,20.4,16.2,79,0,0,0,,0,0,6.1,11.2,279.6,1017.2,27.5,11.5,222.5,19.4,8,10,2022-11-06T05:24:19,2022-11-06T16:31:11,0.48,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42623099999,VEIM,remote"
26,manipur,07-11-2022,27.7,13.3,19.6,28,13.3,19.7,15.2,77.3,0,0,0,,0,0,6.5,13,300.7,1016.8,29,10.5,222.6,19.4,8,10,2022-11-07T05:24:57,2022-11-07T16:30:38,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42623099999,VEIM,remote"
27,manipur,08-11-2022,27.8,12.9,19.5,28.6,12.9,19.6,14.8,76,0,0,0,,0,0,6.1,7.6,43,1017,23.3,10.8,224.6,19.5,8,10,2022-11-08T05:25:36,2022-11-08T16:30:07,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42623099999,VEIM,remote"
28,manipur,09-11-2022,27,12.3,19.1,27.7,12.3,19.1,14.9,78.2,0,0,0,,0,0,6.8,9.4,336.6,1017,30.3,11.1,222.3,19.2,8,10,2022-11-09T05:26:16,2022-11-09T16:29:37,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42623099999,VEIM,remote"
29,manipur,10-11-2022,27,12.3,19,27.9,12.3,19.1,14.9,78.2,0,0,0,,0,0,6.8,11.2,348.4,1017.1,19.7,11.5,221,19,8,10,2022-11-10T05:26:56,2022-11-10T16:29:08,0.53,Clear,Clear conditions throughout the day.,clear-day,"42623099999,VEIM,remote"
30,manipur,11-11-2022,26,11.6,18.1,26,11.6,18.1,13.5,76.8,0,0,0,,0,0,6.5,11.2,20.5,1016.9,31.3,13.4,216.2,18.6,8,10,2022-11-11T05:27:36,2022-11-11T16:28:41,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VEIM,remote"
31,manipur,12-11-2022,26,11.6,17.9,26,11.6,17.9,13.5,77.2,0,0,0,,0,0,5.8,9.4,20,1016,26.6,15.3,217.5,18.7,8,10,2022-11-12T05:28:16,2022-11-12T16:28:15,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VEIM,remote"
